Project,Uraian,Debit,Kredit,Saldo,jenis_pembayaran
0,Pembangunan di Km 9,0.0,6500.0,111933189.0,1
0,Pembangunan di Km 9,0.0,1300000.0,110633189.0,1
0,Pembangunan di Km 9,0.0,850000.0,109783189.0,1
0,Pembangunan di Km 9,0.0,6500.0,109776689.0,1
0,Pembangunan di Km 9,0.0,6500000.0,103276689.0,1
0,Pembangunan di Km 9,0.0,6500.0,102070189.0,1
0,Pembangunan di Km 9,0.0,750000.0,97620189.0,1
0,Pembangunan di Km 9,0.0,6500.0,97613689.0,1
0,Pembangunan di Km 9,0.0,6500.0,97507189.0,1
0,Pembangunan di Km 9,0.0,400000.0,97107189.0,1
0,Pembangunan di Km 9,0.0,1200000.0,95900689.0,1
0,Pembangunan di Km 9,0.0,6500.0,95894189.0,1
0,Pembangunan di Km 9,0.0,6500.0,94887689.0,1
0,Pembangunan di Km 9,0.0,2663.0,94898338.0,1
0,Pembangunan di Km 9,0.0,4000.0,94883338.0,1
0,Pembangunan di Km 9,0.0,6500.0,93076838.0,1
0,Pembangunan di Km 9,0.0,6500.0,83778338.0,1
0,Pembangunan di Km 9,0.0,300000.0,82978338.0,1
0,Pembangunan di Km 9,0.0,578000.0,82393838.0,1
0,Pembangunan di Km 9,0.0,2000000.0,80387338.0,1
0,Setoran Tunai,10000000.0,0.0,90380838.0,0
0,Pembangunan di Km 9,0.0,1240000.0,89140838.0,1
